City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,novoishimskiy,53.1981,66.7694,282.62,68,6,5.46,KZ,1682305562
159,beasain,43.0502,-2.2009,285.07,96,78,1.29,ES,1682305563
160,val-d'or,48.1002,-77.7828,276.2,81,40,3.09,CA,1682305564
161,naze,28.3667,129.4833,296.66,78,29,6.3,JP,1682305564
162,stanley,54.868,-1.6985,277.48,90,75,6.69,GB,1682305565
163,bull savanna,17.8868,-77.5902,296.31,78,27,2.1,JM,1682305565
164,edinburgh of the seven seas,-37.0676,-12.3116,288.23,60,85,11.08,SH,1682305566
165,lerwick,60.1545,-1.1494,277.15,64,96,12.5,GB,1682305567
166,ankang,32.68,109.0172,280.01,92,100,0.73,CN,1682305567
167,st. john's,47.5649,-52.7093,276.08,96,100,9.83,CA,1682305568
168,palmas,-10.2128,-48.3603,297.08,94,75,1.54,BR,1682305568
169,sarikamis,40.3381,42.5731,277.97,93,94,1.83,TR,1682305569
170,guangyuan,32.442,105.823,283.86,70,100,2.39,CN,1682305569
171,beau vallon,-20.4189,57.6953,298.83,88,40,1.54,MU,1682305570
172,trebinje,42.7119,18.3442,287.35,58,0,4.63,BA,1682305572
173,dabola,10.75,-11.1167,300.02,27,87,1.92,GN,1682305572
174,tchaourou,8.8865,2.5975,296.65,87,100,1.67,BJ,1682305573
175,bocanda,7.0626,-4.4995,297.25,96,100,2.04,CI,1682305574
176,hakui,36.8833,136.7833,287.73,32,100,4.12,JP,1682305574
177,altai,46.3722,96.2583,271.7,48,2,2.67,MN,1682305575
178,wanning,18.8003,110.3967,302.26,74,68,4.84,CN,1682305576
179,mata-utu,-13.2816,-176.1745,301.1,74,4,3.0,WF,1682305576
180,greymouth,-42.4667,171.2,286.61,59,4,3.99,NZ,1682305577
181,murun-kuren,49.6342,100.1625,276.71,33,34,1.84,MN,1682305578
182,shijiazhuang,38.0414,114.4786,283.07,81,100,1.15,CN,1682305578
183,west bay,19.3667,-81.4167,300.19,77,20,2.06,KY,1682305579
184,villa gesell,-37.2639,-56.973,289.29,92,24,4.06,AR,1682305537
185,barhi,23.9,80.8,302.11,31,65,5.53,IN,1682305580
186,rongelap,11.1635,166.8941,300.19,82,49,10.33,MH,1682305580
187,qarazhal,48.0078,70.7903,286.11,54,20,4.4,KZ,1682305581
188,belem de sao francisco,-8.7539,-38.9658,296.11,74,95,6.56,BR,1682305582
189,crane,31.3974,-102.3501,281.4,81,100,6.54,US,1682305582
190,rudnichnyy,59.617,52.4703,277.67,81,100,0.99,RU,1682305583
191,kaa-khem,51.6833,94.7333,280.16,38,42,2.95,RU,1682305584
192,daura,11.5538,11.4085,300.71,55,100,6.96,NG,1682305585
193,sedro-woolley,48.5039,-122.2361,283.32,84,100,3.6,US,1682305586
194,kirakira,-10.4544,161.9205,302.42,74,27,3.16,SB,1682305586
195,whitehorse,60.7161,-135.0538,278.72,78,75,2.24,CA,1682305296
196,nchelenge,-9.3451,28.734,293.0,89,96,2.9,ZM,1682305587
197,atafu village,-8.5421,-172.5159,302.06,71,45,1.28,TK,1682305588
198,dryden,49.7833,-92.7503,272.31,47,75,1.54,CA,1682305589
199,ambasa,23.9172,91.8472,302.99,46,0,0.92,IN,1682305589
200,florence,43.7667,11.25,288.01,80,40,2.06,IT,1682305590
201,ta`u,-14.2336,-169.5144,300.3,75,23,2.65,AS,1682305590
202,bunia,1.5667,30.25,290.26,97,100,0.36,CD,1682305591
203,partapur,23.6,74.1667,302.25,23,5,2.48,IN,1682305592
204,tolanaro,-25.0319,46.9987,296.19,83,20,3.09,MG,1682305592
205,urangan,-25.3,152.9,298.82,61,30,10.23,AU,1682305593
206,zhelezinka,53.54,75.3072,285.29,49,58,4.97,KZ,1682305594
207,minas de marcona,-15.2119,-75.1103,291.0,79,0,3.73,PE,1682305594
208,illapel,-31.6308,-71.1653,289.45,81,30,0.98,CL,1682305342
209,woolgoolga,-30.1106,153.2007,295.08,57,49,6.75,AU,1682305595
210,zouerate,22.7187,-12.4521,293.89,47,0,4.93,MR,1682305596
211,kingston,17.997,-76.7936,294.93,89,0,1.51,JM,1682305494
212,kourou,5.1552,-52.6478,297.18,90,100,0.78,GF,1682305597
213,chenaran,36.6455,59.1212,291.95,26,19,1.55,IR,1682305598
214,sangamner,19.5667,74.2167,301.42,25,91,3.24,IN,1682305598
215,guane,22.2025,-84.0875,296.74,67,37,1.32,CU,1682305599
216,praia da vitoria,38.7333,-27.0667,291.29,94,75,10.04,PT,1682305599
217,mwaro,-3.5,29.6667,287.36,95,99,1.08,BI,1682305600
218,guiberoua,6.2392,-6.1727,296.61,98,100,1.21,CI,1682305600
219,colchani,-20.3,-66.9333,278.5,28,4,2.8,BO,1682305601
220,kapuskasing,49.4169,-82.4331,272.07,97,100,1.83,CA,1682305601
221,invercargill,-46.4,168.35,284.83,82,86,0.89,NZ,1682305601
222,dhidhdhoo,6.8833,73.1,302.36,68,96,4.86,MV,1682305602
223,turek,52.0155,18.5005,284.05,87,100,3.22,PL,1682305602
224,ahvaz,31.3203,48.6693,301.06,21,5,0.6,IR,1682305603
225,rio negrinho,-26.2544,-49.5183,287.02,98,77,1.19,BR,1682305603
226,princeville,45.7668,-61.2985,276.68,92,1,0.77,CA,1682305604
227,hailar,49.2,119.7,282.21,18,100,8.37,CN,1682305604
228,kulhudhuffushi,6.6221,73.07,302.39,68,100,5.09,MV,1682305605
229,shangzhi,45.2167,127.9667,285.5,13,40,6.31,CN,1682305605
230,hadibu,12.65,54.0333,300.61,74,100,1.74,YE,1682305339
231,horki,54.2861,30.9842,283.86,68,90,2.67,BY,1682305606
232,smithers,54.7804,-127.1743,280.33,93,100,1.54,CA,1682305607
233,heves,47.6,20.2833,279.75,79,95,2.47,HU,1682305419
234,al burayqah,30.4062,19.5739,292.14,72,12,4.94,LY,1682305608
235,chibougamau,49.9168,-74.3659,275.94,100,100,2.57,CA,1682305361
236,san patricio,28.017,-97.5169,291.39,89,100,6.26,US,1682305609
237,turuntayevo,52.2,107.6167,279.2,29,0,1.64,RU,1682305609
238,zgurovka,50.5028,31.7849,282.1,73,40,1.51,UA,1682305610
239,sisimiut,66.9395,-53.6735,273.02,99,100,1.57,GL,1682305610
240,pabrade,55.0,25.7833,283.85,76,6,2.94,LT,1682305611
241,gilgit,35.9221,74.3087,285.78,32,0,2.32,PK,1682305611
242,tineo,43.3376,-6.4145,281.29,95,98,1.72,ES,1682305611
243,nanakuli,21.3906,-158.1547,300.12,65,100,4.12,US,1682305612
244,flekkefjord,58.2971,6.6607,281.45,92,100,1.78,NO,1682305612
245,igarka,67.4667,86.5833,273.68,99,100,5.93,RU,1682305613
246,christchurch,-43.5333,172.6333,287.82,46,40,8.75,NZ,1682305496
247,san agustin de valle fertil,-30.6335,-67.4682,286.49,85,72,0.57,AR,1682305614
248,daru,-9.0763,143.2092,300.84,84,100,1.3,PG,1682305614
249,mount darwin,-16.7725,31.5838,289.26,67,100,1.17,ZW,1682305615
250,enewetak,11.3474,162.3373,300.08,83,99,8.66,MH,1682305616
251,kolpashevo,58.3131,82.9089,279.02,87,100,5.58,RU,1682305616
252,badr hunayn,23.7829,38.7905,301.77,63,100,2.56,SA,1682305616
253,san antonio de pale,-1.4014,5.6325,300.65,78,95,3.86,GQ,1682305617
254,punta arenas,-53.15,-70.9167,279.21,81,100,3.6,CL,1682305617
255,pucallpa,-8.3791,-74.5539,299.17,89,40,1.54,PE,1682305589
256,new norfolk,-42.7826,147.0587,292.99,43,2,0.45,AU,1682305618
257,hami,42.8,93.45,287.72,25,89,3.13,CN,1682305618
258,island harbour,50.724,-1.2758,280.89,91,7,1.34,GB,1682305619
259,rahimah,26.7079,50.0619,297.27,52,99,3.66,SA,1682305619
260,moundou,8.5667,16.0833,300.88,53,100,2.21,TD,1682305620
261,franklin,39.9667,-83.0166,279.5,64,100,3.6,US,1682305620
262,grande prairie,55.1667,-118.8027,281.25,66,75,6.69,CA,1682305493
263,farafangana,-22.8167,47.8333,295.28,93,28,2.45,MG,1682305621
264,zhezqazghan,47.7833,67.7667,285.47,58,0,2.0,KZ,1682305621
265,monte alegre,-2.0078,-54.0692,296.39,96,100,0.83,BR,1682305623
266,tidjikja,18.5564,-11.4271,299.33,19,0,4.39,MR,1682305356
267,colac,-38.3333,143.5833,294.36,47,0,2.99,AU,1682305624
268,lianghu,29.9915,120.8985,286.59,94,100,3.7,CN,1682305625
269,kish,26.5578,54.0194,298.54,66,0,5.37,IR,1682305626
270,videira,-27.0083,-51.1517,285.03,99,22,1.34,BR,1682305357
271,san luis,-33.295,-66.3356,288.02,81,100,3.5,AR,1682305627
272,kargasok,59.0556,80.8572,278.29,91,100,5.83,RU,1682305627
273,burang,30.25,81.1667,271.13,61,100,1.75,CN,1682305628
274,trinidad,-14.8333,-64.9,294.3,83,90,1.62,BO,1682305561
275,gadzhiyevo,69.2551,33.3362,266.13,90,24,4.85,RU,1682305629
276,taulaga,-11.0553,-171.0883,301.79,72,20,3.12,AS,1682305629
277,mkushi,-13.6202,29.3939,288.26,87,99,1.64,ZM,1682305630
278,santiago de cao,-7.9589,-79.2392,297.22,78,75,3.09,PE,1682305631
279,villamontes,-21.25,-63.5,292.79,88,100,0.95,BO,1682305631
280,kattivakkam,13.2167,80.3167,302.63,85,36,5.51,IN,1682305632
281,dukhan,25.4297,50.7858,298.96,59,43,3.59,QA,1682305632
282,saint-laurent-du-maroni,5.5039,-54.0289,295.32,98,100,0.21,GF,1682305633
283,xiaoweizhai,26.1903,107.5125,280.87,94,100,2.27,CN,1682305520
284,kavaratti,10.5669,72.642,301.75,72,96,5.18,IN,1682305634
285,aitape,-3.1374,142.3475,302.03,76,92,2.55,PG,1682305635
286,nuku'alofa,-21.1333,-175.2,301.34,74,75,4.63,TO,1682305636
287,san fernando de monte cristi,19.8667,-71.65,298.0,67,9,1.26,DO,1682305636
288,uturoa,-16.7333,-151.4333,300.71,77,54,3.11,PF,1682305637
289,kudahuvadhoo,2.6708,72.8944,302.45,68,100,2.94,MV,1682305637
290,porto novo,6.4965,2.6036,299.16,89,100,0.76,BJ,1682305638
291,ad dabbah,18.05,30.95,301.43,14,90,3.19,SD,1682305639
292,son la,21.3167,103.9,304.61,41,68,1.04,VN,1682305640
293,sao gabriel da cachoeira,-0.1303,-67.0892,296.15,97,29,1.04,BR,1682305640
294,juan griego,11.0817,-63.9655,299.22,89,88,2.06,VE,1682305641
295,mejit,10.2753,170.8646,300.43,81,65,8.17,MH,1682305642
